PERIOD,cl_id,MCC,channel_type,currency,TRDATETIME,amount,trx_category,target_flag,target_sum,trx_category_mul,is_weekend,mday,wday,year,ymonth,mcc_group,amount_log,channel_type_type0,channel_type_type1,channel_type_type2,channel_type_type3,channel_type_type4,channel_type_type5,trx_category_BACK_TRX,trx_category_C2C_IN,trx_category_C2C_OUT,trx_category_CASH_ADV,trx_category_CAT,trx_category_DEPOSIT,trx_category_POS,trx_category_WD_ATM_OTHER,trx_category_WD_ATM_PARTNER,trx_category_WD_ATM_ROS
01/08/2017,563,5411,type2,810,2017-08-31 00:00:00,679.0,POS,1,213057.8,-1,False,31,3,2017,8,17.0,2.8318697742805017,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/04/2017,5964,5541,type1,810,2017-04-13 00:00:00,1000.0,POS,1,4221.09,-1,False,13,3,2017,4,1.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/07/2017,3519,5411,type1,810,2017-07-01 00:00:00,761.44,POS,1,228261.12,-1,True,1,5,2017,7,17.0,2.8816356874546822,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/06/2017,1581,5814,type2,810,2017-06-26 00:00:00,395.0,POS,1,405385.95,-1,False,26,0,2017,6,15.0,2.59659709562646,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/02/2017,3543,5411,type1,810,2017-02-21 00:00:00,5402.42,POS,1,596120.3,-1,False,21,1,2017,2,17.0,3.732588344492661,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/07/2017,1972,4722,type2,810,2017-07-27 00:00:00,40000.0,POS,1,499.0,-1,False,27,3,2017,7,18.0,4.6020599913279625,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/12/2016,9509,5814,type1,810,2016-12-19 00:00:00,261.0,POS,0,0.0,-1,False,19,0,2016,12,15.0,2.416640507338281,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/12/2016,9125,7538,type1,810,2016-12-25 00:00:00,190.0,POS,0,0.0,-1,False,25,-1,2016,12,16.0,2.278753600952829,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/08/2017,7787,5812,type1,810,2017-08-21 00:00:00,109.0,POS,0,0.0,-1,False,21,0,2017,8,15.0,2.037426497940624,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/02/2017,2759,5812,type2,810,2017-02-02 00:00:00,140.0,POS,0,0.0,-1,False,2,3,2017,2,15.0,2.146128035678238,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
01/02/2018,4862,5812,type1,810,2018-02-27 00:00:00,145.0,POS,0,0.0,-1,False,27,1,2018,2,15.0,2.161368002234975,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/04/2017,995,6011,type2,810,2017-04-15 08:35:53,2000.0,WD_ATM_ROS,1,115181.78,-1,True,15,5,2017,4,11.0,3.3010299956639813,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
01/02/2017,3672,5411,type1,810,2017-02-11 00:00:00,89.0,POS,0,0.0,-1,True,11,5,2017,2,17.0,1.9493900066449128,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/01/2017,8339,7542,type1,810,2017-01-26 00:00:00,1030.0,POS,1,3746.6,-1,False,26,3,2017,1,16.0,3.012837224705172,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/07/2017,2780,6011,type2,810,2017-07-03 16:40:05,1000.0,WD_ATM_ROS,0,0.0,-1,False,3,0,2017,7,11.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
01/05/2017,7434,7997,type1,810,2017-05-24 00:00:00,3999.0,POS,0,0.0,-1,False,24,2,2017,5,14.0,3.6019514041335214,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
01/02/2017,1104,8211,type2,810,2017-02-26 00:00:00,20.0,POS,1,1543.0,-1,False,26,-1,2017,2,13.0,1.3010299956639813,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
